radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments
KAKQ,8/15/2008,Fall,y,,,,,,,,,,
KAKQ,8/16/2008,Fall,y,,,,,,,,,,
KAKQ,8/17/2008,Fall,n,,,,,,,,,,
KAKQ,8/18/2008,Fall,n,,,,,,,,,,
KAKQ,8/19/2008,Fall,n,,,,,,,,,,
KAKQ,8/20/2008,Fall,n,,,,,,,,,,
KAKQ,8/21/2008,Fall,n,,,,,,,,,,
KAKQ,8/22/2008,Fall,y,,,,,,,,,,
KAKQ,8/23/2008,Fall,y,,,,,,,,,,
KAKQ,8/24/2008,Fall,y,,,,,,,,,,
KAKQ,8/25/2008,Fall,y,,,,,,,,,,
KAKQ,8/26/2008,Fall,n,,,,,,,,,,
KAKQ,8/27/2008,Fall,n,,,,,,,,,,
KAKQ,8/28/2008,Fall,n,,,,,,,,,,
KAKQ,8/29/2008,Fall,y,,,,,,,,,,
KAKQ,8/30/2008,Fall,y,,,,,,,,,,
KAKQ,8/31/2008,Fall,y,,,,,,,,,,
KAKQ,9/1/2008,Fall,y,,,,,,,,,,
KAKQ,9/2/2008,Fall,y,,,,,,,,,,
KAKQ,9/3/2008,Fall,n,,,,,,,,,,
KAKQ,9/4/2008,Fall,n,,,,,,,,,,
KAKQ,9/5/2008,Fall,n,,,,,,,,,,
KAKQ,9/6/2008,Fall,n,,,,,,,,,,
KAKQ,9/7/2008,Fall,y,,,,,,,,,,
KAKQ,9/8/2008,Fall,y,,,,,,,,,,
KAKQ,9/9/2008,Fall,y,,,,,,,,,,
KAKQ,9/10/2008,Fall,y,,,,,,,,,,
KAKQ,9/11/2008,Fall,n,,,,,,,,,,
KAKQ,9/12/2008,Fall,y,,,,,,,,,,
KAKQ,9/13/2008,Fall,n,,,,,,,,,,
KAKQ,9/14/2008,Fall,y,,,,,,,,,,
KAKQ,9/15/2008,Fall,y,,,,,,,,,,
KAKQ,9/16/2008,Fall,n,,,,,,,,,,
KAKQ,9/17/2008,Fall,y,,,,,,,,,,
KAKQ,9/18/2008,Fall,n,,,,,,,,,,
KAKQ,9/19/2008,Fall,n,,,,,,,,,,
KAKQ,9/20/2008,Fall,n,,,,,,,,,,
KAKQ,9/21/2008,Fall,n,,,,,,,,,,
KAKQ,9/22/2008,Fall,n,,,,,,,,,,
KAKQ,9/23/2008,Fall,n,,,,,,,,,,
KAKQ,9/24/2008,Fall,n,,,,,,,,,,
KAKQ,9/25/2008,Fall,n,,,,,,,,,,
KAKQ,9/26/2008,Fall,n,,,,,,,,,,
KAKQ,9/27/2008,Fall,n,,,,,,,,,,
KAKQ,9/28/2008,Fall,n,,,,,,,,,,
KAKQ,9/29/2008,Fall,n,,,,,,,,,,
KAKQ,9/30/2008,Fall,y,,,,,,,,,,
KAKQ,10/1/2008,Fall,y,,,,,,,,,,
KAKQ,10/2/2008,Fall,y,,,,,,,,,,
KAKQ,10/3/2008,Fall,y,,,,,,,,,,
KAKQ,10/4/2008,Fall,y,,,,,,,,,,
KAKQ,10/5/2008,Fall,y,,,,,,,,,,
KAKQ,10/6/2008,Fall,n,,,,,,,,,,
KAKQ,10/7/2008,Fall,n,,,,,,,,,,
KAKQ,10/8/2008,Fall,y,,,,,,,,,,
KAKQ,10/9/2008,Fall,y,,,,,,,,,,
KAKQ,10/10/2008,Fall,y,,,,,,,,,,
KAKQ,10/11/2008,Fall,y,,,,,,,,,,
KAKQ,10/12/2008,Fall,n,,,,,,,,,,
KAKQ,10/13/2008,Fall,n,,,,,,,,,,
KAKQ,10/14/2008,Fall,n,,,,,,,,,,
KAKQ,10/15/2008,Fall,n,,,,,,,,,,
KAKQ,10/16/2008,Fall,n,,,,,,,,,,
KAKQ,10/17/2008,Fall,n,,,,,,,,,,
KAKQ,10/18/2008,Fall,n,,,,,,,,,,
KAKQ,10/19/2008,Fall,n,,,,,,,,,,
KAKQ,10/20/2008,Fall,n,,,,,,,,,,
KAKQ,10/21/2008,Fall,n,,,,,,,,,,
KAKQ,10/22/2008,Fall,n,,,,,,,,,,
KAKQ,10/23/2008,Fall,n,,,,,,,,,,
KAKQ,10/24/2008,Fall,n,,,,,,,,,,
KAKQ,10/25/2008,Fall,y,,,,,,,,,,
KAKQ,10/26/2008,Fall,y,,,,,,,,,,
