radar,date,season,download?,status,type
KBOX,8/15/2016,Fall,y,,
KBOX,8/16/2016,Fall,y,,
KBOX,8/17/2016,Fall,y,,
KBOX,8/18/2016,Fall,y,,
KBOX,8/19/2016,Fall,y,,
KBOX,8/20/2016,Fall,y,,
KBOX,8/21/2016,Fall,n,C,
KBOX,8/22/2016,Fall,y,,
KBOX,8/23/2016,Fall,y,,
KBOX,8/24/2016,Fall,y,,
KBOX,8/25/2016,Fall,y,,
KBOX,8/26/2016,Fall,y,,
KBOX,8/27/2016,Fall,y,,
KBOX,8/28/2016,Fall,y,,
KBOX,8/29/2016,Fall,y,,
KBOX,8/30/2016,Fall,y,,
KBOX,8/31/2016,Fall,n,C,
KBOX,9/1/2016,Fall,y,,
KBOX,9/2/2016,Fall,y,,
KBOX,9/3/2016,Fall,y,,
KBOX,9/4/2016,Fall,y,,
KBOX,9/5/2016,Fall,n,C,
KBOX,9/6/2016,Fall,y,,
KBOX,9/7/2016,Fall,y,,
KBOX,9/8/2016,Fall,y,,
KBOX,9/9/2016,Fall,y,,
KBOX,9/10/2016,Fall,n,C,
KBOX,9/11/2016,Fall,y,,
KBOX,9/12/2016,Fall,y,,
KBOX,9/13/2016,Fall,y,,
KBOX,9/14/2016,Fall,y,,
KBOX,9/15/2016,Fall,y,,
KBOX,9/16/2016,Fall,y,,
KBOX,9/17/2016,Fall,y,,
KBOX,9/18/2016,Fall,y,,
KBOX,9/19/2016,Fall,y,,
KBOX,9/20/2016,Fall,y,,
KBOX,9/21/2016,Fall,y,,
KBOX,9/22/2016,Fall,y,,
KBOX,9/23/2016,Fall,y,,
KBOX,9/24/2016,Fall,y,,
KBOX,9/25/2016,Fall,y,,
KBOX,9/26/2016,Fall,y,,
KBOX,9/27/2016,Fall,y,,
KBOX,9/28/2016,Fall,y,,
KBOX,9/29/2016,Fall,y,,
KBOX,9/30/2016,Fall,y,,
KBOX,10/1/2016,Fall,y,,
KBOX,10/2/2016,Fall,y,,
KBOX,10/3/2016,Fall,y,,
KBOX,10/4/2016,Fall,y,,
KBOX,10/5/2016,Fall,y,,
KBOX,10/6/2016,Fall,y,,
KBOX,10/7/2016,Fall,y,,
KBOX,10/8/2016,Fall,y,,
KBOX,10/9/2016,Fall,y,,
KBOX,10/10/2016,Fall,y,,
KBOX,10/11/2016,Fall,y,,
KBOX,10/12/2016,Fall,y,,
KBOX,10/13/2016,Fall,y,,
KBOX,10/14/2016,Fall,y,,
KBOX,10/15/2016,Fall,y,,
KBOX,10/16/2016,Fall,y,,
KBOX,10/17/2016,Fall,y,,
KBOX,10/18/2016,Fall,y,,
KBOX,10/19/2016,Fall,y,,
KBOX,10/20/2016,Fall,y,,
KBOX,10/21/2016,Fall,y,,
KBOX,10/22/2016,Fall,y,,
KBOX,10/23/2016,Fall,y,,
KBOX,10/24/2016,Fall,y,,
KBOX,10/25/2016,Fall,y,,
KBOX,10/26/2016,Fall,y,,
KBOX,10/27/2016,Fall,y,,
KBOX,10/28/2016,Fall,y,,
KBOX,10/29/2016,Fall,y,,
KBOX,10/30/2016,Fall,y,,
KBOX,10/31/2016,Fall,y,,
KBOX,11/1/2016,Fall,y,,
KBOX,11/2/2016,Fall,y,,
KBOX,11/3/2016,Fall,y,,
KBOX,11/4/2016,Fall,y,,
KBOX,11/5/2016,Fall,y,,
KBOX,11/6/2016,Fall,y,,
KBOX,11/7/2016,Fall,y,,
