radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments,
KDOX,11/1/2015,Fall,y,B,,,,,,22:35,,,,
KDOX,11/2/2015,Fall,n,,,,,,,,,,,
KDOX,11/3/2015,Fall,y,C,P,,,,,,,,,
KDOX,11/4/2015,Fall,y,,,,,,,,,,,
KDOX,11/5/2015,Fall,y,C,P,,,,,22:26,,,too much P?,
KDOX,11/6/2015,Fall,y,C,AP,,,,,22:29,,,ok,
KDOX,11/7/2015,Fall,n,,,,,,,,,,,
KDOX,11/8/2015,Fall,n,,,,,,,,,,,
KDOX,11/9/2015,Fall,n,,,,,,,,,,,
KDOX,11/10/2015,Fall,n,,,,,,,,,,,
KDOX,11/11/2015,Fall,y,C,P,,,,,,,,,
KDOX,11/12/2015,Fall,y,C,CL,,,,,22:24,,,,
KDOX,11/13/2015,Fall,n,,,,,,,,,,,
KDOX,11/14/2015,Fall,n,,,,,,,,,,,
KDOX,11/15/2015,Fall,y,C,P,,,,,22:17,,,,
KDOX,11/16/2015,Fall,n,,,,,,,,,,,
KDOX,11/17/2015,Fall,y,C,P,,,,,,,,,
KDOX,11/18/2015,Fall,y,C,P,,,,,,,,,
KDOX,11/19/2015,Fall,n,,,,,,,,,,,
KDOX,11/20/2015,Fall,n,,,,,,,,,,,
KDOX,11/21/2015,Fall,y,C,CL,,,,,22:14,,,,
KDOX,11/22/2015,Fall,n,,,,,,,,,,,
KDOX,11/23/2015,Fall,y,C,P,,,,,,,,,
KDOX,11/24/2015,Fall,y,C,CL,,,,,22:14,,,,
KDOX,11/25/2015,Fall,y,C,AP,,,,,22:16,,,ok,
KDOX,11/26/2015,Fall,y,C,P,,,,,22:22,,,,
KDOX,11/27/2015,Fall,y,C,P,,,,,22:15,,,too much P?,
KDOX,11/28/2015,Fall,n,,,,,,,,,,,
KDOX,11/29/2015,Fall,n,,,,,,,,,,,
KDOX,11/30/2015,Fall,n,,,,,,,,,,,
KDOX,12/1/2015,Fall,n,,,,,,,,,,,
KDOX,12/2/2015,Fall,n,,,,,,,,,,,
KDOX,12/3/2015,Fall,n,,,,,,,,,,,
KDOX,12/4/2015,Fall,y,B,,,,,,22:20,,,"Activity at 21:41, too",
KDOX,12/5/2015,Fall,y,B,,,,,,22:14,,,,
