radar,date,season,download?,status,contamination type,target_id,screener,surface wind (m/s),wind direction,time,target speed (m/s),ground heading,comments
KMOB,9/1/2004,Fall,y,,,,,,,,,,
KMOB,9/2/2004,Fall,n,,,,,,,,,,
KMOB,9/3/2004,Fall,y,,,,,,,,,,
KMOB,9/4/2004,Fall,y,,,,,,,,,,
KMOB,9/5/2004,Fall,y,,,,,,,,,,
KMOB,9/6/2004,Fall,y,,,,,,,,,,
KMOB,9/7/2004,Fall,n,,,,,,,,,,
KMOB,9/8/2004,Fall,y,,,,,,,,,,
KMOB,9/9/2004,Fall,y,,,,,,,,,,
KMOB,9/10/2004,Fall,n,,,,,,,,,,
KMOB,9/11/2004,Fall,n,,,,,,,,,,
KMOB,9/12/2004,Fall,n,,,,,,,,,,
KMOB,9/13/2004,Fall,y,,,,,,,,,,
KMOB,9/14/2004,Fall,y,,,,,,,,,,
KMOB,9/15/2004,Fall,n,,,,,,,,,,
KMOB,9/16/2004,Fall,y,,,,,,,,,,
KMOB,9/17/2004,Fall,y,,,,,,,,,,
KMOB,9/18/2004,Fall,y,,,,,,,,,,
KMOB,9/19/2004,Fall,y,,,,,,,,,,
KMOB,9/20/2004,Fall,y,,,,,,,,,,
KMOB,9/21/2004,Fall,y,,,,,,,,,,
KMOB,9/22/2004,Fall,n,,,,,,,,,,
KMOB,9/23/2004,Fall,y,,,,,,,,,,
KMOB,9/24/2004,Fall,y,,,,,,,,,,
KMOB,9/25/2004,Fall,y,,,,,,,,,,
KMOB,9/26/2004,Fall,y,,,,,,,,,,
KMOB,9/27/2004,Fall,y,,,,,,,,,,
KMOB,9/28/2004,Fall,y,,,,,,,,,,
KMOB,9/29/2004,Fall,y,,,,,,,,,,
KMOB,9/30/2004,Fall,n,,,,,,,,,,
KMOB,10/1/2004,Fall,y,,,,,,,,,,
KMOB,10/2/2004,Fall,y,,,,,,,,,,
KMOB,10/3/2004,Fall,n,,,,,,,,,,
KMOB,10/4/2004,Fall,n,,,,,,,,,,
KMOB,10/5/2004,Fall,n,,,,,,,,,,
KMOB,10/6/2004,Fall,n,,,,,,,,,,
KMOB,10/7/2004,Fall,y,,,,,,,,,,
KMOB,10/8/2004,Fall,n,,,,,,,,,,
KMOB,10/9/2004,Fall,n,,,,,,,,,,
KMOB,10/10/2004,Fall,n,,,,,,,,,,
KMOB,10/11/2004,Fall,y,,,,,,,,,,
KMOB,10/12/2004,Fall,y,,,,,,,,,,
